t	1e9*scaling*thickness	stress_comp*1e-6	stress_comp*scaling*thickness	0.5*stress_tensile*1e-6	stress_tensile*scaling*thickness	area	coverage	stress-thickness	stress
6.451763	0.053033	-276.690350	-0.014674	0.000000	0.000000	640000.042152	0.015958	-0.014674	-46.704820
6.461755	0.053354	-276.273666	-0.014740	0.000000	0.000000	640000.042152	0.016035	-0.014740	-46.634484
6.501585	0.054654	-274.682298	-0.015013	0.000000	0.000000	640000.042152	0.016329	-0.015013	-46.365864
6.558002	0.056545	-272.367985	-0.015401	0.000000	0.000000	640000.042152	0.016751	-0.015401	-45.975213
6.576963	0.057185	-271.627797	-0.015533	0.000000	0.000000	640000.042152	0.016897	-0.015533	-45.850270
6.623059	0.058776	-269.775698	-0.015856	0.000000	0.000000	640000.042152	0.017251	-0.015856	-45.537639
6.695062	0.061341	-266.896741	-0.016372	0.000000	0.000000	640000.042152	0.017813	-0.016372	-45.051677
6.766051	0.063950	-264.175372	-0.016894	0.000000	0.000000	640000.042152	0.018378	-0.016894	-44.592315
6.842735	0.066865	-261.279398	-0.017470	0.000000	0.000000	640000.042152	0.019003	-0.017470	-44.103480
6.879783	0.068295	-259.963716	-0.017754	0.000000	0.000000	640000.042152	0.019306	-0.017754	-43.881395
6.955649	0.071321	-257.193434	-0.018343	0.000000	0.000000	640000.042152	0.019941	-0.018343	-43.413776
7.007321	0.073427	-255.331741	-0.018748	0.000000	0.000000	640000.042152	0.020382	-0.018748	-43.099526
7.071822	0.076129	-252.997289	-0.019260	0.000000	0.000000	640000.042152	0.020944	-0.019260	-42.705475
7.135564	0.078870	-250.733949	-0.019775	0.000000	0.000000	640000.042152	0.021503	-0.019775	-42.323427
7.156039	0.079758	-250.075806	-0.019946	0.000000	0.000000	640000.042152	0.021687	-0.019946	-42.212334
7.240625	0.083557	-247.139001	-0.020650	0.000000	0.000000	640000.042152	0.022452	-0.020650	-41.716607
7.281480	0.085422	-245.764428	-0.020994	0.000000	0.000000	640000.042152	0.022829	-0.020994	-41.484581
7.312688	0.086865	-244.751191	-0.021260	0.000000	0.000000	640000.042152	0.023116	-0.021260	-41.313549
7.357934	0.088995	-243.240948	-0.021647	0.000000	0.000000	640000.042152	0.023543	-0.021647	-41.058623
7.392859	0.090663	-242.126804	-0.021952	0.000000	0.000000	640000.042152	0.023872	-0.021952	-40.870557
7.469728	0.094447	-239.592443	-0.022629	0.000000	0.000000	640000.042152	0.024613	-0.022629	-40.442762
7.505627	0.096239	-238.465146	-0.022950	0.000000	0.000000	640000.042152	0.024961	-0.022950	-40.252476
7.542943	0.098129	-237.298078	-0.023286	0.000000	0.000000	640000.042152	0.025329	-0.023286	-40.055477
7.560562	0.099028	-236.808626	-0.023451	0.000000	0.000000	640000.042152	0.025504	-0.023451	-39.972858
7.630151	0.102674	-234.676848	-0.024095	0.000000	0.000000	640000.042152	0.026200	-0.024095	-39.613018
7.706607	0.106799	-232.345569	-0.024814	0.000000	0.000000	640000.042152	0.026977	-0.024814	-39.219503
7.723302	0.107706	-231.867342	-0.024974	0.000000	0.000000	640000.042152	0.027150	-0.024974	-39.138779
7.794283	0.111665	-229.775353	-0.025658	0.000000	0.000000	640000.042152	0.027891	-0.025658	-38.785655
7.855428	0.115155	-228.028726	-0.026259	0.000000	0.000000	640000.042152	0.028536	-0.026259	-38.490828
7.940109	0.120143	-225.616137	-0.027106	0.000000	0.000000	640000.042152	0.029450	-0.027106	-38.083587
8.008826	0.124294	-223.687548	-0.027803	0.000000	0.000000	640000.042152	0.030202	-0.027803	-37.758045
8.041107	0.126267	-222.807750	-0.028133	0.000000	0.000000	640000.042152	0.030562	-0.028133	-37.609537
8.044757	0.126490	-222.749719	-0.028176	0.000000	0.000000	640000.042152	0.030603	-0.028176	-37.599741
8.095988	0.129685	-221.367558	-0.028708	0.000000	0.000000	640000.042152	0.031177	-0.028708	-37.366435
8.128536	0.131738	-220.496687	-0.029048	0.000000	0.000000	640000.042152	0.031545	-0.029048	-37.219433
8.163891	0.133997	-219.567287	-0.029421	0.000000	0.000000	640000.042152	0.031948	-0.029421	-37.062552
8.166086	0.134138	-219.553080	-0.029450	0.000000	0.000000	640000.042152	0.031971	-0.029450	-37.060154
8.231363	0.138410	-217.799200	-0.030146	0.000000	0.000000	640000.042152	0.032726	-0.030146	-36.764103
8.231586	0.138425	-217.824168	-0.030152	0.000000	0.000000	640000.042152	0.032730	-0.030152	-36.768317
8.278636	0.141556	-216.586120	-0.030659	0.000000	0.000000	640000.042152	0.033278	-0.030659	-36.559337
8.343427	0.145968	-214.913488	-0.031371	0.000000	0.000000	640000.042152	0.034049	-0.031371	-36.277000
8.386093	0.148917	-213.851135	-0.031846	0.000000	0.000000	640000.042152	0.034557	-0.031846	-36.097676
8.440262	0.152732	-212.555174	-0.032464	0.000000	0.000000	640000.042152	0.035213	-0.032464	-35.878921
8.460432	0.154163	-212.074722	-0.032694	0.000000	0.000000	640000.042152	0.035461	-0.032694	-35.797821
8.495893	0.156708	-211.237175	-0.033103	0.000000	0.000000	640000.042152	0.035896	-0.033103	-35.656445
8.526150	0.158903	-210.545783	-0.033456	0.000000	0.000000	640000.042152	0.036272	-0.033456	-35.539739
8.556792	0.161150	-209.854353	-0.033818	0.000000	0.000000	640000.042152	0.036652	-0.033818	-35.423027
8.615896	0.165570	-208.462002	-0.034515	0.000000	0.000000	640000.042152	0.037398	-0.034515	-35.188001
8.690825	0.171319	-206.704445	-0.035412	0.000000	0.000000	640000.042152	0.038358	-0.035412	-34.891328
8.750473	0.175987	-205.360352	-0.036141	0.000000	0.000000	640000.042152	0.039130	-0.036141	-34.664448
8.802477	0.180127	-204.218341	-0.036785	0.000000	0.000000	640000.042152	0.039812	-0.036785	-34.471679
8.841353	0.183263	-203.383896	-0.037273	0.000000	0.000000	640000.042152	0.040326	-0.037273	-34.330826
8.891447	0.187370	-202.304838	-0.037906	0.000000	0.000000	640000.042152	0.040998	-0.037906	-34.148683
8.973221	0.194256	-200.506427	-0.038950	0.000000	0.000000	640000.042152	0.042105	-0.038950	-33.845114
9.006333	0.197075	-199.811893	-0.039378	0.000000	0.000000	640000.042152	0.042561	-0.039378	-33.727878
9.039011	0.199886	-199.118971	-0.039801	0.000000	0.000000	640000.042152	0.043013	-0.039801	-33.610914
9.105549	0.205734	-197.714047	-0.040676	0.000000	0.000000	640000.042152	0.043942	-0.040676	-33.373766
9.129670	0.207870	-197.230596	-0.040998	0.000000	0.000000	640000.042152	0.044283	-0.040998	-33.292160
9.191972	0.213498	-195.941605	-0.041833	0.000000	0.000000	640000.042152	0.045168	-0.041833	-33.074581
9.201159	0.214331	-195.767386	-0.041959	0.000000	0.000000	640000.042152	0.045301	-0.041959	-33.045173
9.261238	0.219878	-194.537459	-0.042774	0.000000	0.000000	640000.042152	0.046165	-0.042774	-32.837564
9.318021	0.225215	-193.386804	-0.043554	0.000000	0.000000	640000.042152	0.046997	-0.043554	-32.643335
9.358318	0.229051	-192.597056	-0.044114	0.000000	0.000000	640000.042152	0.047590	-0.044114	-32.510027
9.423982	0.235429	-191.294024	-0.045036	0.000000	0.000000	640000.042152	0.048569	-0.045036	-32.290078
9.482316	0.241198	-190.170392	-0.045869	0.000000	0.000000	640000.042152	0.049448	-0.045869	-32.100411
9.522966	0.245269	-189.407434	-0.046456	0.000000	0.000000	640000.042152	0.050067	-0.046456	-31.971625
9.555285	0.248537	-188.798788	-0.046924	0.000000	0.000000	640000.042152	0.050565	-0.046924	-31.868887
9.569597	0.249991	-188.547062	-0.047135	0.000000	0.000000	640000.042152	0.050787	-0.047135	-31.826396
9.577325	0.250778	-188.418004	-0.047251	0.000000	0.000000	640000.042152	0.050907	-0.047251	-31.804611
9.602088	0.253318	-187.962917	-0.047614	0.000000	0.000000	640000.042152	0.051293	-0.047614	-31.727793
9.675001	0.260964	-186.584595	-0.048692	0.000000	0.000000	640000.042152	0.052434	-0.048692	-31.495135
9.708106	0.264471	-185.987035	-0.049188	0.000000	0.000000	640000.042152	0.052958	-0.049188	-31.394268
9.772750	0.271451	-184.789432	-0.050161	0.000000	0.000000	640000.042152	0.053992	-0.050161	-31.192115
9.826552	0.277355	-183.807753	-0.050980	0.000000	0.000000	640000.042152	0.054864	-0.050980	-31.026409
9.903916	0.286040	-182.450559	-0.052188	0.000000	0.000000	640000.042152	0.056130	-0.052188	-30.797317
9.944944	0.290701	-181.755676	-0.052837	0.000000	0.000000	640000.042152	0.056810	-0.052837	-30.680022
10.012939	0.298583	-180.586475	-0.053920	0.000000	0.000000	640000.042152	0.057955	-0.053920	-30.482663
10.097180	0.308589	-179.122935	-0.055275	0.000000	0.000000	640000.042152	0.059389	-0.055275	-30.235620
10.121090	0.311448	-178.731378	-0.055666	0.000000	0.000000	640000.042152	0.059797	-0.055666	-30.169526
10.164265	0.316676	-178.014891	-0.056373	0.000000	0.000000	640000.042152	0.060542	-0.056373	-30.048585
10.235681	0.325502	-176.821214	-0.057556	0.000000	0.000000	640000.042152	0.061795	-0.057556	-29.847094
10.286630	0.331891	-175.974545	-0.058404	0.000000	0.000000	640000.042152	0.062698	-0.058404	-29.704178
10.367782	0.342302	-174.621256	-0.059773	0.000000	0.000000	640000.042152	0.064147	-0.059773	-29.475745
10.452873	0.353482	-173.232057	-0.061234	0.000000	0.000000	640000.042152	0.065695	-0.061234	-29.241251
10.481913	0.357329	-172.784343	-0.061741	0.000000	0.000000	640000.042152	0.066226	-0.061741	-29.165678
10.563339	0.368361	-171.480172	-0.063167	0.000000	0.000000	640000.042152	0.067741	-0.063167	-28.945536
10.606840	0.374325	-170.814154	-0.063940	0.000000	0.000000	640000.042152	0.068555	-0.063940	-28.833114
10.620736	0.376238	-170.607309	-0.064189	0.000000	0.000000	640000.042152	0.068821	-0.064189	-28.798198
10.688611	0.385754	-169.544247	-0.065402	0.000000	0.000000	640000.042152	0.070106	-0.065402	-28.618756
10.697646	0.387024	-169.421301	-0.065570	0.000000	0.000000	640000.042152	0.070281	-0.065570	-28.598003
10.761790	0.396199	-168.432536	-0.066733	0.000000	0.000000	640000.042152	0.071513	-0.066733	-28.431101
10.762402	0.396286	-168.420092	-0.066743	0.000000	0.000000	640000.042152	0.071528	-0.066743	-28.429000
10.826418	0.405604	-167.439017	-0.067914	0.000000	0.000000	640000.042152	0.072774	-0.067914	-28.263397
10.878679	0.413318	-166.655102	-0.068881	0.000000	0.000000	640000.042152	0.073801	-0.068881	-28.131073
10.879079	0.413377	-166.669032	-0.068897	0.000000	0.000000	640000.042152	0.073811	-0.068897	-28.133425
10.941408	0.422732	-165.741892	-0.070064	0.000000	0.000000	640000.042152	0.075045	-0.070064	-27.976925
10.986178	0.429531	-165.075163	-0.070905	0.000000	0.000000	640000.042152	0.075941	-0.070905	-27.864382
11.016747	0.434212	-164.648841	-0.071492	0.000000	0.000000	640000.042152	0.076555	-0.071492	-27.792420
11.090041	0.445652	-163.586422	-0.072903	0.000000	0.000000	640000.042152	0.078046	-0.072903	-27.613086
11.162954	0.457252	-162.541706	-0.074323	0.000000	0.000000	640000.042152	0.079547	-0.074323	-27.436740
11.207798	0.464470	-161.915486	-0.075205	0.000000	0.000000	640000.042152	0.080478	-0.075205	-27.331035
11.260155	0.473012	-161.196307	-0.076248	0.000000	0.000000	640000.042152	0.081573	-0.076248	-27.209639
11.327342	0.484165	-160.253359	-0.077589	0.000000	0.000000	640000.042152	0.082997	-0.077589	-27.050471
